x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
104.0,29.6,Right Foot,Normal,0,0,1,0.112456836,Paris Saint-Germain,Edinson Roberto Cavani Gómez,90,33,19.0829767070025,0.44976173405654607,0,1,0
94.5,32.6,Right Foot,Normal,0,0,1,0.04361412,Paris Saint-Germain,Zlatan Ibrahimović,11,1,26.55202440493003,0.28511163207439433,1,1,0
113.3,40.7,Head,Normal,1,0,0,0.27007103,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,21,15,6.736467917239719,0.9999478860140727,1,0,1
99.2,26.9,Right Foot,Normal,0,0,0,0.05978967,Paris Saint-Germain,Edinson Roberto Cavani Gómez,24,8,24.581497106563706,0.348356960497282,0,1,0
109.1,29.7,Right Foot,Lob,0,1,0,0.37860432,Paris Saint-Germain,Edinson Roberto Cavani Gómez,24,53,14.996666296213974,0.6479015417365124,0,1,0
96.2,44.2,Left Foot,Normal,1,0,0,0.05799304,Paris Saint-Germain,Zlatan Ibrahimović,27,44,24.167747102284892,0.3051723622718803,1,0,1
110.2,38.7,Head,Normal,0,0,0,0.054643944,Paris Saint-Germain,Marcos Aoás Corrêa,34,52,9.885848471426211,0.7148561776881799,1,1,0
107.4,49.4,Left Foot,Volley,1,1,0,0.12599364,Paris Saint-Germain,Blaise Matuidi,36,54,15.720050890502863,0.565393231187457,1,0,1
103.8,26.6,Right Foot,Normal,0,0,0,0.056423116,Paris Saint-Germain,Zlatan Ibrahimović,38,14,21.023796041628643,0.444391154043015,0,1,0
107.9,25.7,Left Foot,Normal,0,0,0,0.12515905,Paris Saint-Germain,Edinson Roberto Cavani Gómez,38,53,18.732325002519037,0.5874597244810582,0,1,0
109.4,31.7,Left Foot,Normal,1,1,1,0.08540717,Paris Saint-Germain,Blaise Matuidi,45,57,13.462912017836256,0.6649328885292051,1,1,0
118.0,49.6,Right Foot,Volley,1,1,0,0.020889385,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,46,17,9.806120537705011,2.141368403027514,1,0,1
112.2,40.0,Right Foot,Normal,0,1,1,0.6517175,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,12,7.799999999999997,0.8774612970150145,1,0,0
99.5,33.9,Left Foot,Lob,1,0,1,0.22183202,Paris Saint-Germain,Ángel Fabián Di María Hernández,51,41,21.38831456660389,0.35335017879551,1,1,0
113.0,43.1,Head,Normal,1,0,0,0.16283295,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,53,53,7.6557168181692825,0.9635313430737257,1,0,1
105.5,41.2,Right Foot,Volley,0,1,1,0.15513325,Paris Saint-Germain,Zlatan Ibrahimović,55,52,14.54957044039445,0.49449834991324176,1,0,1
89.4,48.5,Right Foot,Lob,0,0,0,0.045847256,Paris Saint-Germain,Zlatan Ibrahimović,64,4,31.758620876857982,0.23808463627066898,1,0,1
105.6,43.4,Right Foot,Normal,1,1,0,0.1371511,Paris Saint-Germain,Zlatan Ibrahimović,71,41,14.795945390545349,0.4977927416022123,1,0,1
111.9,29.7,Left Foot,Normal,0,1,1,0.19318242,Paris Saint-Germain,Maxwell Scherrer Cabelino Andrade,75,38,13.103434664239751,0.8487857199499718,0,1,0
111.9,52.3,Right Foot,Normal,0,1,0,0.14044455,Paris Saint-Germain,Gregory van der Wiel,78,49,14.727525250360287,0.8487857199499718,0,0,1
106.6,30.3,Left Foot,Normal,0,1,0,0.10903863,Paris Saint-Germain,Layvin Kurzawa,78,52,16.542369842317036,0.5332617696887639,1,1,0
115.9,45.4,Head,Normal,0,0,0,0.20543325,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,82,59,6.780117993073568,1.457515560516147,1,0,1
113.3,51.2,Right Foot,Normal,0,0,0,0.21634278,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,85,12,13.051053597315432,0.9999478860140727,0,0,1
103.4,39.6,Left Foot,Normal,0,1,0,0.18792151,Paris Saint-Germain,Blaise Matuidi,5,10,16.60481857775025,0.43401987539430337,1,1,0
84.6,24.8,Left Foot,Normal,0,0,0,0.006054224,Paris Saint-Germain,Layvin Kurzawa,7,38,38.52531635171865,0.20604756331280513,0,1,0
97.2,44.5,Left Foot,Normal,0,0,0,0.04909676,Paris Saint-Germain,Gregory van der Wiel,7,49,23.239836488237174,0.318336796860724,1,0,1
