x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second
111.9,52.3,Right Foot,Normal,0,1,0,0.14044455,Paris Saint-Germain,Gregory van der Wiel,78,49
106.6,30.3,Left Foot,Normal,0,1,0,0.10903863,Paris Saint-Germain,Layvin Kurzawa,78,52
115.9,45.4,Head,Normal,0,0,0,0.20543325,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,82,59
113.3,51.2,Right Foot,Normal,0,0,0,0.21634278,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,85,12
103.4,39.6,Left Foot,Normal,0,1,0,0.18792151,Paris Saint-Germain,Blaise Matuidi,5,10
84.6,24.8,Left Foot,Normal,0,0,0,0.006054224,Paris Saint-Germain,Layvin Kurzawa,7,38
97.2,44.5,Left Foot,Normal,0,0,0,0.04909676,Paris Saint-Germain,Gregory van der Wiel,7,49
87.6,30.6,Left Foot,Normal,0,0,0,0.016586503,Paris Saint-Germain,Layvin Kurzawa,33,51
115.0,47.0,Head,Normal,0,0,0,0.093902856,Paris Saint-Germain,Layvin Kurzawa,36,0
88.3,41.8,Right Foot,Normal,0,0,0,0.02337752,Paris Saint-Germain,Hervin Scicchitano Ongenda,42,33
82.0,43.0,Right Foot,Normal,0,0,0,0.007933561,Paris Saint-Germain,Hervin Scicchitano Ongenda,45,31
110.4,36.5,Head,Normal,1,0,0,0.09951289,Paris Saint-Germain,Layvin Kurzawa,46,5
99.7,43.9,Right Foot,Normal,0,0,0,0.07367071,Paris Saint-Germain,Jean-Kévin Augustin,47,5
112.8,39.5,Other,Normal,1,0,0,0.41436857,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,49,26
108.1,40.1,Right Foot,Normal,0,0,1,0.7835,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,55,10
89.5,43.0,Right Foot,Normal,0,0,0,0.024788948,Paris Saint-Germain,Hervin Scicchitano Ongenda,57,26
108.7,34.8,Right Foot,Normal,1,0,1,0.15288496,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,70,55
90.4,37.6,Right Foot,Normal,0,0,0,0.021288106,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,72,45
97.3,45.2,Right Foot,Normal,0,0,0,0.03591525,Paris Saint-Germain,Zlatan Ibrahimović,5,0
106.7,47.0,Right Foot,Normal,1,1,0,0.19074292,Paris Saint-Germain,Blaise Matuidi,8,33
115.7,50.7,Right Foot,Half Volley,0,0,1,0.06900461,Paris Saint-Germain,Zlatan Ibrahimović,14,19
107.2,29.3,Right Foot,Normal,0,1,0,0.13574347,Paris Saint-Germain,Hervin Scicchitano Ongenda,24,1
100.8,44.7,Right Foot,Normal,0,0,1,0.08990443,Paris Saint-Germain,Zlatan Ibrahimović,33,29
108.9,42.4,Head,Normal,0,0,0,0.0725269,Paris Saint-Germain,Thiago Emiliano da Silva,39,23
94.5,55.2,Left Foot,Normal,0,0,0,0.025040528,Paris Saint-Germain,Adrien Rabiot,42,57
102.4,43.6,Left Foot,Half Volley,1,0,0,0.08050941,Paris Saint-Germain,Zlatan Ibrahimović,45,29
116.0,36.0,Head,Normal,1,0,1,0.16208136,Paris Saint-Germain,David Luiz Moreira Marinho,47,33
113.1,42.4,Head,Normal,1,0,0,0.09953334,Paris Saint-Germain,David Luiz Moreira Marinho,49,30
114.8,33.6,Right Foot,Volley,0,1,0,0.17200178,Paris Saint-Germain,Zlatan Ibrahimović,49,31
104.7,27.8,Left Foot,Normal,0,1,1,0.10623879,Paris Saint-Germain,Zlatan Ibrahimović,81,48
114.5,33.7,Left Foot,Volley,0,1,0,0.14470227,Paris Saint-Germain,Edinson Roberto Cavani Gómez,3,46
108.5,27.8,Left Foot,Normal,0,1,0,0.15759662,Paris Saint-Germain,Ángel Fabián Di María Hernández,3,48
92.1,42.2,Left Foot,Normal,1,0,0,0.025379011,Paris Saint-Germain,Ángel Fabián Di María Hernández,11,6
91.4,52.0,Right Foot,Half Volley,0,0,0,0.020734306,Paris Saint-Germain,Zlatan Ibrahimović,17,6
108.3,49.8,Right Foot,Normal,0,0,0,0.06487354,Paris Saint-Germain,Edinson Roberto Cavani Gómez,20,51
113.8,50.1,Head,Normal,0,0,0,0.053439654,Paris Saint-Germain,Edinson Roberto Cavani Gómez,21,20
108.8,34.3,Right Foot,Overhead Kick,0,1,0,0.06320031,Paris Saint-Germain,Edinson Roberto Cavani Gómez,29,23
106.2,26.7,Right Foot,Normal,0,1,0,0.04735842,Paris Saint-Germain,Ángel Fabián Di María Hernández,32,46
107.0,44.5,Head,Normal,0,0,0,0.0627143,Paris Saint-Germain,Edinson Roberto Cavani Gómez,37,40
109.0,27.2,Left Foot,Normal,0,0,0,0.104841605,Paris Saint-Germain,Zlatan Ibrahimović,38,39
108.3,40.3,Head,Normal,0,0,0,0.09943831,Paris Saint-Germain,Zlatan Ibrahimović,40,16
103.6,53.0,Right Foot,Normal,0,1,0,0.07586647,Paris Saint-Germain,Zlatan Ibrahimović,45,29
112.3,34.9,Head,Normal,0,0,0,0.12313479,Paris Saint-Germain,Edinson Roberto Cavani Gómez,54,54
89.1,42.7,Left Foot,Half Volley,0,0,0,0.021023396,Paris Saint-Germain,Adrien Rabiot,57,21
98.8,39.6,Right Foot,Half Volley,0,1,0,0.052933797,Paris Saint-Germain,Zlatan Ibrahimović,76,2
112.6,33.5,Head,Normal,1,0,0,0.05891092,Paris Saint-Germain,Edinson Roberto Cavani Gómez,79,0
117.5,46.8,Head,Normal,0,0,0,0.17922981,Paris Saint-Germain,Zlatan Ibrahimović,79,1
104.6,40.7,Right Foot,Volley,0,0,0,0.059483137,Paris Saint-Germain,Zlatan Ibrahimović,82,45
100.7,46.9,Right Foot,Half Volley,0,0,0,0.04288813,Paris Saint-Germain,Blaise Matuidi,82,47
110.4,43.0,Right Foot,Volley,0,1,0,0.17979157,Paris Saint-Germain,Jean-Kévin Augustin,86,11
115.0,30.0,Head,Normal,1,0,0,0.044551082,Paris Saint-Germain,David Luiz Moreira Marinho,87,13
116.1,42.6,Head,Normal,1,0,0,0.30622306,Paris Saint-Germain,Thiago Emiliano da Silva,87,42
116.3,32.7,Right Foot,Volley,0,1,0,0.24992338,Paris Saint-Germain,Zlatan Ibrahimović,87,42
108.8,43.5,Right Foot,Volley,0,1,0,0.087956294,Paris Saint-Germain,Thiago Emiliano da Silva,8,35
96.2,32.8,Right Foot,Half Volley,0,1,0,0.037726667,Paris Saint-Germain,Zlatan Ibrahimović,9,30
106.6,33.4,Right Foot,Normal,0,0,0,0.46120927,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,39
113.4,33.4,Right Foot,Normal,0,1,1,0.8974841,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,41
109.7,37.7,Right Foot,Lob,1,0,1,0.48731616,Paris Saint-Germain,Javier Matías Pastore,16,44
112.2,32.9,Right Foot,Half Volley,0,0,0,0.26996684,Paris Saint-Germain,Edinson Roberto Cavani Gómez,18,16
114.1,29.7,Left Foot,Half Volley,0,1,1,0.18974373,Paris Saint-Germain,Adrien Rabiot,18,18
100.5,29.2,Left Foot,Normal,0,0,0,0.052555997,Paris Saint-Germain,Zlatan Ibrahimović,26,11
112.1,26.7,Left Foot,Normal,0,1,0,0.0721631,Paris Saint-Germain,Javier Matías Pastore,39,19
100.8,40.1,Left Foot,Normal,0,0,1,0.081658065,Paris Saint-Germain,Zlatan Ibrahimović,45,22
115.1,46.8,Head,Normal,1,0,0,0.096558236,Paris Saint-Germain,Layvin Kurzawa,48,42
107.6,50.6,Left Foot,Volley,0,1,0,0.055259325,Paris Saint-Germain,Zlatan Ibrahimović,51,17
111.1,43.8,Right Foot,Volley,0,1,1,0.17660438,Paris Saint-Germain,Zlatan Ibrahimović,51,52
100.2,39.0,Right Foot,Half Volley,0,1,1,0.07245108,Paris Saint-Germain,Zlatan Ibrahimović,55,0
108.1,32.6,Right Foot,Normal,0,0,0,0.107877426,Paris Saint-Germain,Edinson Roberto Cavani Gómez,60,5
108.2,40.1,Right Foot,Normal,0,0,0,0.7835,Paris Saint-Germain,Edinson Roberto Cavani Gómez,74,24
115.3,40.3,Right Foot,Volley,0,1,1,0.72298133,Paris Saint-Germain,Edinson Roberto Cavani Gómez,74,26
86.3,32.4,Right Foot,Normal,1,0,0,0.014806782,Paris Saint-Germain,Zlatan Ibrahimović,77,9
92.6,21.7,Right Foot,Normal,0,0,0,0.007973566,Paris Saint-Germain,David Luiz Moreira Marinho,78,8
106.6,31.1,Left Foot,Normal,1,1,1,0.24555889,Paris Saint-Germain,Zlatan Ibrahimović,87,52
105.0,39.1,Right Foot,Normal,0,0,0,0.48932752,Paris Saint-Germain,Javier Matías Pastore,89,8
103.4,44.5,Right Foot,Normal,0,1,0,0.31253505,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,89,10
50.1,71.7,Right Foot,Normal,0,0,0,0.0034456847,Paris Saint-Germain,Zlatan Ibrahimović,7,24
105.0,31.9,Left Foot,Half Volley,0,1,0,0.08805859,Paris Saint-Germain,Zlatan Ibrahimović,13,54
103.6,42.7,Right Foot,Overhead Kick,1,0,0,0.03350752,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,34,31
110.9,36.5,Head,Normal,1,0,0,0.054164995,Paris Saint-Germain,Thiago Emiliano da Silva,35,11
92.4,40.2,Right Foot,Normal,0,1,0,0.02610068,Paris Saint-Germain,Zlatan Ibrahimović,43,54
105.1,44.9,Left Foot,Normal,1,1,1,0.09055618,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,50,37
96.5,47.8,Right Foot,Lob,1,0,0,0.07499769,Paris Saint-Germain,Zlatan Ibrahimović,64,24
102.6,62.6,Left Foot,Normal,1,1,0,0.008365994,Paris Saint-Germain,Ángel Fabián Di María Hernández,2,37
113.8,36.5,Head,Normal,0,0,0,0.1253812,Paris Saint-Germain,David Luiz Moreira Marinho,3,0
112.1,49.2,Head,Normal,1,0,0,0.026763065,Paris Saint-Germain,Thiago Motta,6,8
108.5,54.4,Right Foot,Normal,0,1,1,0.12146763,Paris Saint-Germain,Gregory van der Wiel,11,13
113.2,34.7,Head,Normal,0,0,0,0.07072108,Paris Saint-Germain,Edinson Roberto Cavani Gómez,24,39
107.6,33.8,Left Foot,Normal,0,1,0,0.1657624,Paris Saint-Germain,Zlatan Ibrahimović,42,47
111.2,31.1,Left Foot,Half Volley,0,0,1,0.2018329,Paris Saint-Germain,Zlatan Ibrahimović,42,48
104.1,32.1,Right Foot,Normal,0,1,1,0.3219359,Paris Saint-Germain,Edinson Roberto Cavani Gómez,45,27
96.7,46.6,Right Foot,Normal,0,0,0,0.051047098,Paris Saint-Germain,Zlatan Ibrahimović,45,57
90.8,43.9,Left Foot,Normal,0,1,0,0.024508093,Paris Saint-Germain,Thiago Motta,53,41
102.4,28.4,Left Foot,Normal,0,0,0,0.032230068,Paris Saint-Germain,Blaise Matuidi,58,51
112.1,30.7,Left Foot,Volley,0,1,1,0.07429926,Paris Saint-Germain,Zlatan Ibrahimović,67,22
95.6,53.7,Right Foot,Normal,0,0,0,0.029271413,Paris Saint-Germain,Gregory van der Wiel,73,31
97.0,48.1,Right Foot,Half Volley,1,1,0,0.03289975,Paris Saint-Germain,Gregory van der Wiel,74,5
99.2,43.3,Right Foot,Half Volley,0,1,0,0.086678125,Paris Saint-Germain,Edinson Roberto Cavani Gómez,81,57
115.0,40.6,Head,Normal,1,0,0,0.16076134,Paris Saint-Germain,Thiago Motta,5,31
104.9,54.7,Right Foot,Normal,0,0,0,0.072255485,Paris Saint-Germain,Zlatan Ibrahimović,11,41
109.7,49.0,Head,Normal,1,0,0,0.025306119,Paris Saint-Germain,Thiago Emiliano da Silva,20,22
108.2,34.2,Right Foot,Half Volley,1,1,0,0.057717584,Paris Saint-Germain,Edinson Roberto Cavani Gómez,20,24
110.7,26.5,Left Foot,Normal,0,0,1,0.3384294,Paris Saint-Germain,Layvin Kurzawa,22,46
82.9,31.0,Right Foot,Normal,0,0,0,0.0073762853,Paris Saint-Germain,Zlatan Ibrahimović,26,11
95.5,45.9,Left Foot,Normal,1,0,0,0.06349963,Paris Saint-Germain,Ángel Fabián Di María Hernández,35,58
117.6,32.5,Head,Normal,0,0,0,0.06944868,Paris Saint-Germain,Layvin Kurzawa,38,34
107.9,42.0,Right Foot,Normal,0,1,0,0.5087925,Paris Saint-Germain,Edinson Roberto Cavani Gómez,40,15
103.5,27.8,Left Foot,Half Volley,0,1,0,0.045789126,Paris Saint-Germain,Ángel Fabián Di María Hernández,42,57
113.4,37.8,Head,Normal,0,0,0,0.25219858,Paris Saint-Germain,Zlatan Ibrahimović,44,6
101.5,39.4,Left Foot,Normal,0,0,0,0.26747873,Paris Saint-Germain,Ángel Fabián Di María Hernández,45,56
112.6,32.9,Left Foot,Normal,1,1,1,0.23159935,Paris Saint-Germain,Edinson Roberto Cavani Gómez,47,12
114.0,34.9,Left Foot,Normal,0,1,0,0.49496743,Paris Saint-Germain,Edinson Roberto Cavani Gómez,48,33
117.5,52.6,Right Foot,Normal,1,1,0,0.014832841,Paris Saint-Germain,Zlatan Ibrahimović,57,18
113.6,41.6,Right Foot,Normal,0,1,1,0.91700184,Paris Saint-Germain,Zlatan Ibrahimović,66,23
99.6,44.2,Right Foot,Normal,1,0,0,0.085670575,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,71,36
115.4,37.1,Left Foot,Half Volley,0,1,0,0.32108843,Paris Saint-Germain,Blaise Matuidi,72,5
101.3,35.6,Right Foot,Normal,1,1,0,0.11226689,Paris Saint-Germain,Edinson Roberto Cavani Gómez,79,39
111.2,28.3,Head,Normal,1,0,0,0.03902051,Paris Saint-Germain,Layvin Kurzawa,81,25
111.1,30.4,Head,Normal,0,0,1,0.04038026,Paris Saint-Germain,Lucas Rodrigues Moura da Silva,86,3
82.2,45.5,Right Foot,Half Volley,0,0,0,0.005660963,Paris Saint-Germain,Zlatan Ibrahimović,1,5
113.5,31.6,Left Foot,Volley,0,1,0,0.13023184,Paris Saint-Germain,Zlatan Ibrahimović,9,10
